Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
91371,1,73,0,1,1,1
90010,3800,37,1874,1926,2014,1
90013,11772,44,7629,4143,6416,1
90014,7005,44,4471,2534,4109,1
90021,3951,44,2790,1161,1561,1
90025,42147,34,20859,21288,21228,1
90027,45151,38,22362,22789,21929,1
90028,28714,34,16056,12658,14964,1
90036,36865,33,17914,18951,18646,1
90046,48581,38,25854,22727,28534,1
90048,21397,39,10132,11265,11821,1
90067,2424,65,1074,1350,1510,1
90068,22286,39,12018,10268,12326,1
90069,20483,41,12153,8330,13364,1
90073,539,56,506,33,4,1
90089,3217,19,1436,1781,31,1
90094,5464,33,2559,2905,2949,1
90095,3,52,2,1,2,1
90291,28341,37,14757,13584,14261,1
90292,21576,41,10729,10847,12654,1
90293,12132,40,5890,6242,6575,1
90401,6722,37,3524,3198,4188,1
90403,24525,40,11426,13099,13970,1
90405,27186,40,13364,13822,14376,1
90740,23729,57,10423,13306,12830,1
90802,39347,34,20387,18960,19853,1
90803,32031,42,15609,16422,17318,1
91046,156,74,51,105,114,1
91101,20460,33,9926,10534,10869,1
91210,328,33,162,166,178,1
91602,17473,38,8722,8751,9277,1
91371,1,73,0,1,1,1
90010,3800,37,1874,1926,2014,1
90013,11772,44,7629,4143,6416,1
90014,7005,44,4471,2534,4109,1
90021,3951,44,2790,1161,1561,1
90025,42147,34,20859,21288,21228,1
90027,45151,38,22362,22789,21929,1
90028,28714,34,16056,12658,14964,1
90036,36865,33,17914,18951,18646,1
90046,48581,38,25854,22727,28534,1
90048,21397,39,10132,11265,11821,1
90067,2424,65,1074,1350,1510,1
90068,22286,39,12018,10268,12326,1
90069,20483,41,12153,8330,13364,1
90073,539,56,506,33,4,1
90089,3217,19,1436,1781,31,1
90094,5464,33,2559,2905,2949,1
90095,3,52,2,1,2,1
90291,28341,37,14757,13584,14261,1
90292,21576,41,10729,10847,12654,1
90293,12132,40,5890,6242,6575,1
90401,6722,37,3524,3198,4188,1
90403,24525,40,11426,13099,13970,1
90405,27186,40,13364,13822,14376,1
90740,23729,57,10423,13306,12830,1
90802,39347,34,20387,18960,19853,1
90803,32031,42,15609,16422,17318,1
91046,156,74,51,105,114,1
91101,20460,33,9926,10534,10869,1
91210,328,33,162,166,178,1
91602,17473,38,8722,8751,9277,1
